"emp_no","first_name","last_name","dept_name"
10002,"Bezalel","Simmel","Sales"
10016,"Kazuhito","Cappelletti","Sales"
10034,"Bader","Swan","Sales"
10041,"Uri","Lenart","Sales"
10050,"Yinghua","Dredge","Sales"
10053,"Sanjiv","Zschoche","Sales"
10060,"Breannda","Billingsley","Sales"
10061,"Tse","Herber","Sales"
10068,"Charlene","Brattka","Sales"
10087,"Xinglin","Eugenio","Sales"
10088,"Jungsoon","Syrzycki","Sales"
10089,"Sudharsan","Flasterstein","Sales"
10093,"Sailaja","Desikan","Sales"
10095,"Hilari","Morton","Sales"
10099,"Valter","Sullins","Sales"
10101,"Perla","Heyers","Sales"
10107,"Dung","Baca","Sales"
10125,"Syozo","Hiltgen","Sales"
10136,"Zissis","Pintelas","Sales"
10148,"Douadi","Azumi","Sales"
10149,"Xiadong","Perry","Sales"
10151,"Itzchak","Lichtner","Sales"
10160,"Debatosh","Khasidashvili","Sales"
10178,"Valery","Litvinov","Sales"
10185,"Duro","Sidhu","Sales"
10199,"Kazuhisa","Ranta","Sales"
10209,"Yolla","Ellozy","Sales"
10214,"Tadahiko","Ciolek","Sales"
10215,"Xiaobin","Duclos","Sales"
10226,"Xinglin","Plessier","Sales"
10228,"Karoline","Cesareni","Sales"
10232,"Marko","Auria","Sales"
10234,"Arunachalam","Bakhtari","Sales"
10236,"Susumu","Bade","Sales"
10237,"Yannis","Mandell","Sales"
10243,"Wonhee","Pouyioutas","Sales"
10248,"Frederique","Tempesti","Sales"
10253,"Zsolt","Salinas","Sales"
10254,"Shen","Brattka","Sales"
10256,"Irene","Radhakrishnan","Sales"
10262,"Mahendra","Maraist","Sales"
10270,"Bedir","Hartvigsen","Sales"
10273,"Baocai","Lieblein","Sales"
10277,"Isaac","Schwartzbauer","Sales"
10291,"Dipayan","Seghrouchni","Sales"
10292,"Yucel","Ghelli","Sales"
10296,"Petter","Lorho","Sales"
10299,"Ipke","Stentiford","Sales"
10302,"Faiza","Baer","Sales"
10304,"Bernt","Erie","Sales"
10306,"Heng","Kilgour","Sales"
10308,"Dzung","Holburn","Sales"
10314,"Christfried","Apsitis","Sales"
10319,"Mechthild","Miyakawa","Sales"
10320,"Uinam","Stasinski","Sales"
10321,"Guenter","Ravishankar","Sales"
10330,"Kasturi","Bellmore","Sales"
10331,"Arto","Binkley","Sales"
10335,"Toshimori","Bahi","Sales"
10346,"Aamod","Radwan","Sales"
10355,"Satyanarayana","Cochrane","Sales"
10361,"Seshu","Sidou","Sales"
10369,"Qunsheng","Toyoshima","Sales"
10370,"Clyde","Fandrianto","Sales"
10374,"Willard","Rosin","Sales"
10375,"Dante","Kalafatis","Sales"
10378,"Takahira","Lichtner","Sales"
10380,"Alejandro","Kamble","Sales"
10388,"Hironoby","Kaiser","Sales"
10398,"Shooichi","Escriba","Sales"
10399,"Guenter","Marchegay","Sales"
10400,"Ortrud","Nitto","Sales"
10403,"Atreyi","Mungall","Sales"
10407,"Ulf","Siepmann","Sales"
10408,"Martijn","Kaiser","Sales"
10410,"Takahito","Gecsei","Sales"
10411,"Lidong","Klerer","Sales"
